pick_id,day,panel,ticker,side,setup,verdict,score,score_band,entry_type,entry,stop,target,rr,first_seen,last_seen,trackable,track_skip_reason,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,notes
bd74138faa0ed15f,2026-06-22,STATE_LOOKUP,ADBE,SHORT,BEAR_REJECTION_PENDING,CONVICTION,83.7,80-89,LIMIT,199.86,219.89,189.87,0.5,2026-06-22T04:55:29,2026-06-22T04:55:29,True,,NO_FILL,0.0,0.0,0.0,,,,195.25,LIMIT SHORT @ $199.44 (2% rally cap; anchor at $204.02 too far). Stop $219.89. Anchor: daily 1478tk bear.
71693e62a43e1431,2026-06-22,STATE_LOOKUP,ADTX,LONG,BULL_BOUNCE_PENDING,CONVICTION,90.0,90+,MARKET,0.02,0.01,0.02,,2026-06-22T04:58:17,2026-06-22T04:58:17,False,long_levels_not_stop_entry_target,NOT_TRACKABLE,,,,,,,,MARKET BUY @ ~$0.02 (CONVICTION score 90). Stop $0.02. Anchor: weekly 1tk @ $0.01.
b19daefd21292894,2026-06-22,STATE_LOOKUP,AGI,SHORT,BEAR_REJECTION_PENDING,CONVICTION,83.0,80-89,LIMIT,32.9,35.38,28.51,1.77,2026-06-22T07:23:22,2026-06-22T07:23:22,True,,NO_FILL,0.0,0.0,0.0,,,,32.05,LIMIT SHORT @ $32.19 on rally (1.6% above current $31.68). Stop $36.52. Anchor: weekly 416tk bear.
ccacde6b96e4edfe,2026-06-22,STATE_LOOKUP,ALM,LONG,BULL_BOUNCE_CONFIRMED,CONVICTION,79.5,70-79,LIMIT,19.08,17.59,20.03,0.64,2026-06-22T04:56:08,2026-06-22T04:56:08,True,,OPEN_LOSS,-0.3,0.38,-0.3,-0.3,2026-06-22T04:59:00,,18.64,"Channel: 15m ASC, rails $18.58-$18.96. Recent low $18.48 → now $19.08 (+3.2%)"
64a381624f3793fe,2026-06-22,STATE_LOOKUP,ALMS,LONG,CHANNEL_GAP_BREAKOUT_LONG,CONVICTION,81.0,80-89,LIMIT,24.19,23.61,25.43,2.14,2026-06-22T10:29:44,2026-06-22T10:29:44,True,,OPEN_WIN,0.71,1.22,-0.52,0.71,2026-06-22T10:30:00,,24.6,"CHANNEL-GAP BREAKOUT: ASC 15m channel projecting into 15m gap floor @ $23.79 (~-1d). Long $24.19, target $25.43."
9659654bba9be744,2026-06-22,STATE_LOOKUP,AMKR,LONG,BULL_BOUNCE_PENDING,CONVICTION,85.6,80-89,STOP,91.55,89.34,96.13,2.07,2026-06-22T04:57:55,2026-06-22T04:57:55,True,,TARGET_HIT,2.07,2.14,-0.74,0.83,2026-06-22T05:00:00,2026-06-22T09:31:00,93.39,"BUY-STOP @ $96.39 (above today's high $96.29). Stop $90.01 (1.5xATR). Score 86, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW."
ce52f7ba9b942588,2026-06-22,STATE_LOOKUP,APP,LONG,BULL_BOUNCE_PENDING,CONVICTION,90.3,90+,MARKET,465.55,455.49,514.05,4.82,2026-06-22T05:28:22,2026-06-22T05:28:22,True,,STOPPED,-1.0,1.64,-1.81,0.45,2026-06-22T05:54:00,2026-06-22T09:26:00,470.07,MARKET BUY @ ~$460.00 (CONVICTION score 90). Stop $437.0. Anchor: daily 1110tk @ $423.00.
3e1b2d658eabc61a,2026-06-22,STATE_LOOKUP,AUGO,LONG,BULL_BOUNCE_CONFIRMED,CONVICTION,80.0,80-89,LIMIT,63.81,60.9,68.47,1.6,2026-06-22T04:55:39,2026-06-22T04:55:39,True,,OPEN_WIN,0.5,0.53,-0.32,0.5,2026-06-22T08:59:00,,65.26,"Channel: 5m ASC, rails $62.40-$62.85. Recent low $62.41 → now $63.81 (+2.2%)"
fb30c211da6661ba,2026-06-22,STATE_LOOKUP,BEEM,LONG,CHANNEL_GAP_BREAKOUT_LONG,CONVICTION,80.9,80-89,LIMIT,1.37,1.32,1.44,1.4,2026-06-22T12:57:18,2026-06-22T12:57:18,True,,TARGET_HIT,1.4,1.51,-0.77,-0.39,2026-06-22T12:58:00,2026-06-22T14:20:00,1.3505,"CHANNEL-GAP BREAKOUT: ASC 15m channel projecting into 1m gap floor @ $1.34 (~0d). Long $1.37, target $1.44."
0eaa2f2a1707b164,2026-06-22,STATE_LOOKUP,CAST,LONG,BULL_BOUNCE_CONFIRMED,CONVICTION,83.0,80-89,LIMIT,7.3,1.54,7.67,0.06,2026-06-22T06:01:16,2026-06-22T06:01:16,True,,TARGET_HIT,0.06,0.35,-0.16,0.19,2026-06-22T07:01:00,2026-06-22T09:55:00,8.4,"Channel: 1h ASC, rails $7.24-$102.90. Recent low $7.15 → now $7.30 (+2.1%)"
