pick_id,day,panel,ticker,side,setup,verdict,score,score_band,entry_type,entry,stop,target,rr,auction_long_class,auction_short_class,auction_or_state,auction_or_position,auction_day_position,first_seen,last_seen,trackable,track_skip_reason,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,notes
78df28d38c08042c,2026-09-11,ATH_LONG,CMBT,LONG,APPROACH_RECLAIM,WATCH_ONLY,59.0,<60,LIMIT,19.31,18.45,19.91,0.7,CONTINUATION_LONG,AVOID_SHORT,OR_MIDDLE,0.639,0.683,2026-09-11T04:07:35,2026-09-11T04:07:35,True,,OPEN_WIN,0.2,0.35,-0.13,0.2,2026-09-11T05:17:00,,19.48,Approach/reclaim: hold the current shelf and push back toward the 52w high.
8a2ffbc9ab679577,2026-09-11,ATH_LONG,LILAK,LONG,APPROACH_RECLAIM,ACTIONABLE_WATCH,70.0,70-79,LIMIT,8.61,8.23,8.84,0.61,CONTINUATION_LONG,NEUTRAL,OR_BOTTOM_THIRD,0.208,0.397,2026-09-11T04:07:35,2026-09-11T04:07:35,True,,NO_FILL,0.0,0.0,0.0,,,,8.73,Approach/reclaim: hold the current shelf and push back toward the 52w high.
9f550ac0d4dd8582,2026-09-11,ATH_LONG,NAT,LONG,APPROACH_RECLAIM,ACTIONABLE_WATCH,62.0,60-69,LIMIT,7.25,6.93,7.34,0.28,AVOID_LONG_CHASE,NEUTRAL,OR_TOP_THIRD,0.899,0.899,2026-09-11T04:07:35,2026-09-11T04:07:35,True,,TARGET_HIT,0.28,0.77,-0.47,0.66,2026-09-11T05:00:00,2026-09-11T09:32:00,7.46,Approach/reclaim: hold the current shelf and push back toward the 52w high.
91e94a02cd73eac2,2026-09-11,MUSTARD_RELOAD,ABT,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,37.0,<60,LIMIT,102.2341,100.9166,103.2221,0.75,NEUTRAL,AVOID_SHORT,OR_TOP_THIRD,0.705,0.773,2026-09-11T16:00,2026-09-11T16:00,True,,TARGET_HIT,0.75,1.13,-0.22,1.01,2026-09-11T16:04:00,2026-09-11T18:16:00,103.57,Mustard reload shelf retest/reclaim candidate.
971b97555cf31127,2026-09-11,MUSTARD_RELOAD,AGEN,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,6.8837,6.6528,6.9196,0.16,NEUTRAL,NEUTRAL,OR_MIDDLE,0.594,0.594,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.03,0.03,-0.47,0.03,2026-09-11T16:14:00,,6.89,Mustard reload shelf retest/reclaim candidate.
d88e0d15797349e4,2026-09-11,MUSTARD_RELOAD,AVTR,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,14.81,14.553,14.9877,0.69,AVOID_LONG,NEUTRAL,OR_BOTTOM_THIRD,0.145,0.319,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_FLAT,0.0,0.0,-0.0,0.0,2026-09-11T16:00:00,,14.81,Mustard reload shelf retest/reclaim candidate.
525a7060ec50995d,2026-09-11,MUSTARD_RELOAD,BAX,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,23.8476,23.5406,24.0778,0.75,AVOID_LONG,FIRST_RALLY_SHORT_ZONE,BELOW_ORL,0.0,0.122,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.16,-0.16,-0.16,-0.16,2026-09-11T16:00:00,,23.8,Mustard reload shelf retest/reclaim candidate.
a0693cf3315caad0,2026-09-11,MUSTARD_RELOAD,BMNR,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,15.0,<60,LIMIT,25.3406,24.6708,25.4518,0.17,CONTINUATION_LONG,NEUTRAL,OR_BOTTOM_THIRD,0.264,0.264,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.52,-0.18,-0.66,-0.52,2026-09-11T16:00:00,,24.99,Mustard reload shelf retest/reclaim candidate.
c5e45f9ee95eeafd,2026-09-11,MUSTARD_RELOAD,BMY,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,63.7022,62.9145,64.0438,0.43,NEUTRAL,FIRST_RALLY_SHORT_ZONE,OR_MIDDLE,0.357,0.419,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.05,-0.03,-0.41,-0.05,2026-09-11T16:00:00,,63.6595,Mustard reload shelf retest/reclaim candidate.
9b2ef4bfb243ef72,2026-09-11,MUSTARD_RELOAD,BTE,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,5.0362,4.8114,5.0324,,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,1.0,2026-09-11T16:00,2026-09-11T16:00,False,long_levels_not_stop_entry_target,NOT_TRACKABLE,,,,,,,,Mustard reload shelf retest/reclaim candidate.
5934699d59532f6a,2026-09-11,MUSTARD_RELOAD,BULL,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,49.0,<60,LIMIT,9.22,8.9531,9.3306,0.41,AVOID_LONG,FIRST_RALLY_SHORT_ZONE,OR_BOTTOM_THIRD,0.1,0.226,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.04,0.07,-0.19,0.04,2026-09-11T16:00:00,,9.23,Mustard reload shelf retest/reclaim candidate.
72de5c229ebce9f6,2026-09-11,MUSTARD_RELOAD,CAL,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,12.8056,11.7048,12.9592,0.14,PULLBACK_BUY_ZONE,AVOID_SHORT,ABOVE_ORH,1.0,0.583,2026-09-11T15:45,2026-09-11T15:45,True,,OPEN_LOSS,-0.24,-0.11,-0.27,-0.24,2026-09-11T15:45:00,,12.54,Mustard reload shelf retest/reclaim candidate.
068949a0f5834701,2026-09-11,MUSTARD_RELOAD,CCC,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,33.0,<60,LIMIT,6.9138,6.7568,6.9795,0.42,PULLBACK_BUY_ZONE,AVOID_SHORT,ABOVE_ORH,1.0,0.655,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.15,-0.15,-0.22,-0.15,2026-09-11T16:00:00,,6.89,Mustard reload shelf retest/reclaim candidate.
1fa9036577d493d6,2026-09-11,MUSTARD_RELOAD,CMPS,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,49.0,<60,LIMIT,14.3486,13.1903,14.5208,0.15,NEUTRAL,NEUTRAL,OR_MIDDLE,0.5,0.5,2026-09-11T16:00,2026-09-11T16:00,True,,TARGET_HIT,0.15,0.2,-0.09,0.04,2026-09-11T16:05:00,2026-09-11T16:42:00,14.39,Mustard reload shelf retest/reclaim candidate.
100707f5f4deb135,2026-09-11,MUSTARD_RELOAD,CNH,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,30.0,<60,LIMIT,13.7074,12.5323,13.7094,0.0,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.153,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.09,-0.09,-0.11,-0.09,2026-09-11T16:00:00,,13.6,Mustard reload shelf retest/reclaim candidate.
035a16405b7d82c6,2026-09-11,MUSTARD_RELOAD,CNQ,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,50.1461,48.5991,50.7478,0.39,AVOID_LONG_CHASE,FIRST_RALLY_SHORT_ZONE,OR_TOP_THIRD,0.8,0.854,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.02,-0.02,-0.53,-0.02,2026-09-11T16:00:00,,50.12,Mustard reload shelf retest/reclaim candidate.
25229fba9c90abb9,2026-09-11,MUSTARD_RELOAD,COMP,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,10.5461,10.3604,10.6726,0.68,PULLBACK_BUY_ZONE,AVOID_SHORT,ABOVE_ORH,1.0,0.788,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.19,-0.19,-0.19,-0.19,2026-09-11T16:00:00,,10.51,Mustard reload shelf retest/reclaim candidate.
4edbb2fd42b6ecbd,2026-09-11,MUSTARD_RELOAD,COUR,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,5.3006,5.2321,5.3475,0.68,NEUTRAL,AVOID_SHORT,OR_MIDDLE,0.375,0.375,2026-09-11T16:00,2026-09-11T16:00,True,,STOPPED,-1.0,-0.01,-1.18,-0.74,2026-09-11T16:00:00,2026-09-11T16:00:00,5.25,Mustard reload shelf retest/reclaim candidate.
f67d169f9684d240,2026-09-11,MUSTARD_RELOAD,CRCL,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,90.86,83.8016,91.9503,0.15,AVOID_LONG,AVOID_SHORT_CHASE,OR_BOTTOM_THIRD,0.03,0.134,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.01,0.08,-0.04,0.01,2026-09-11T16:00:00,,90.9,Mustard reload shelf retest/reclaim candidate.
598bac8269ee870e,2026-09-11,MUSTARD_RELOAD,CTSH,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,45.0,<60,LIMIT,60.05,57.2022,60.7706,0.25,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,1.0,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_FLAT,0.0,0.0,-0.02,0.0,2026-09-11T16:00:00,,60.05,Mustard reload shelf retest/reclaim candidate.
8dcbd09ac65552b7,2026-09-11,MUSTARD_RELOAD,FNB,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,18.3216,18.0428,18.5307,0.75,CONTINUATION_LONG,NEUTRAL,OR_MIDDLE,0.543,0.543,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.04,-0.04,-0.04,-0.04,2026-09-11T16:00:00,,18.31,Mustard reload shelf retest/reclaim candidate.
bec0c3b4e33ba8bf,2026-09-11,MUSTARD_RELOAD,GPRO,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,1.3709,0.7082,1.3874,0.02,RELOAD_ZONE,AVOID_SHORT_CHASE,OR_BOTTOM_THIRD,0.192,0.128,2026-09-11T16:00,2026-09-11T16:00,True,,TARGET_HIT,0.02,0.03,-0.02,-0.01,2026-09-11T16:00:00,2026-09-11T16:01:00,1.3615,Mustard reload shelf retest/reclaim candidate.
f16dd82533a92332,2026-09-11,MUSTARD_RELOAD,HCA,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,426.94,421.4232,431.0776,0.75,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,0.985,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.43,0.43,-0.0,0.43,2026-09-11T16:00:00,,429.29,Mustard reload shelf retest/reclaim candidate.
f3d84ffa78a2982e,2026-09-11,MUSTARD_RELOAD,INTC,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,6.0,<60,LIMIT,103.3062,90.9663,104.5459,0.1,AVOID_LONG,NEUTRAL,OR_MIDDLE,0.517,0.517,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.02,-0.02,-0.04,-0.02,2026-09-11T16:00:00,,103.05,Mustard reload shelf retest/reclaim candidate.
aad4d6167c8a59c9,2026-09-11,MUSTARD_RELOAD,JHX,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,41.0,<60,LIMIT,28.6271,28.1556,28.9707,0.73,NEUTRAL,AVOID_SHORT,OR_TOP_THIRD,0.941,0.615,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.33,-0.33,-0.33,-0.33,2026-09-11T16:00:00,,28.47,Mustard reload shelf retest/reclaim candidate.
7da8c11afa03232f,2026-09-11,MUSTARD_RELOAD,KD,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,13.15,12.6522,13.3078,0.32,PULLBACK_BUY_ZONE,NEUTRAL,OR_MIDDLE,0.566,0.294,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.66,0.0,-0.66,-0.66,2026-09-11T16:00:00,,12.82,Mustard reload shelf retest/reclaim candidate.
3a55f4c3287c6c2a,2026-09-11,MUSTARD_RELOAD,KEY,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,21.84,21.5672,22.0446,0.75,CONTINUATION_LONG,NEUTRAL,OR_TOP_THIRD,0.702,0.702,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_FLAT,0.0,0.0,-0.0,0.0,2026-09-11T16:00:00,,21.84,Mustard reload shelf retest/reclaim candidate.
1843811730dc1785,2026-09-11,MUSTARD_RELOAD,MSTR,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,131.1618,123.3289,132.2913,0.14,AVOID_LONG,AVOID_SHORT_CHASE,OR_BOTTOM_THIRD,0.143,0.143,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.08,0.02,-0.1,-0.08,2026-09-11T16:00:00,,130.51,Mustard reload shelf retest/reclaim candidate.
e7e85a044fa1a66a,2026-09-11,MUSTARD_RELOAD,NBIS,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,15.0,<60,LIMIT,225.0592,201.2544,227.7599,0.11,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.075,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.02,-0.02,-0.05,-0.02,2026-09-11T16:00:00,,224.49,Mustard reload shelf retest/reclaim candidate.
70a19fdcb3ba2e10,2026-09-11,MUSTARD_RELOAD,NVDA,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,45.0,<60,LIMIT,218.7967,215.4537,219.9096,0.33,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.029,2026-09-11T16:00,2026-09-11T16:00,True,,TARGET_HIT,0.33,0.36,-0.22,-0.16,2026-09-11T16:00:00,2026-09-11T16:01:00,218.26,Mustard reload shelf retest/reclaim candidate.
e4aa5cd0b3f8d479,2026-09-11,MUSTARD_RELOAD,PR,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,42.0,<60,LIMIT,23.8479,22.7898,23.8831,0.03,NEUTRAL,AVOID_SHORT,OR_TOP_THIRD,0.862,0.788,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.13,-0.06,-0.13,-0.13,2026-09-11T16:00:00,,23.7073,Mustard reload shelf retest/reclaim candidate.
3a750b1aab35e59a,2026-09-11,MUSTARD_RELOAD,PTEN,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,12.8557,12.6868,12.9106,0.33,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.0,2026-09-11T16:00,2026-09-11T16:00,True,,STOPPED,-1.0,-0.03,-1.38,-1.34,2026-09-11T16:00:00,2026-09-11T16:16:00,12.63,Mustard reload shelf retest/reclaim candidate.
e323ded70eb48d0e,2026-09-11,MUSTARD_RELOAD,RZLV,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,2.2915,2.1978,2.319,0.29,AVOID_LONG,CONTINUATION_SHORT,BELOW_ORL,0.0,0.2,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.09,0.09,-0.04,0.09,2026-09-11T16:01:00,,2.3,Mustard reload shelf retest/reclaim candidate.
ade42cdda79f990f,2026-09-11,MUSTARD_RELOAD,SMCI,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,40.0203,38.8575,40.2495,0.2,AVOID_LONG_CHASE,NEUTRAL,OR_TOP_THIRD,0.841,0.841,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.03,0.09,-0.08,-0.03,2026-09-11T16:00:00,,39.99,Mustard reload shelf retest/reclaim candidate.
8a4711228ef6d082,2026-09-11,MUSTARD_RELOAD,TE,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,35.0,<60,LIMIT,4.6283,4.2957,4.6838,0.17,AVOID_LONG,CONTINUATION_SHORT,BELOW_ORL,0.0,0.182,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.05,0.07,-0.09,-0.05,2026-09-11T16:00:00,,4.6101,Mustard reload shelf retest/reclaim candidate.
