system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,4761,557,1215,1566,1423,16.7,-7.11,-0.001,-0.1,43,2026-05-21,2026-08-05,NEUTRAL
FAM,score-band,80-89,1334,108,312,603,311,10.6,-134.36,-0.101,-10.1,43,2026-05-21,2026-08-05,AVOID
FAM,score-band,70-79,2811,232,685,1187,707,11.0,-334.69,-0.119,-11.9,43,2026-05-21,2026-08-05,AVOID
FAM,score-band,90+,598,30,152,317,99,6.0,-81.79,-0.137,-13.7,43,2026-05-21,2026-08-05,AVOID
FAM,setup,CHANNEL_TOP_REJECT,8,4,0,0,4,100.0,6.0,0.75,75.0,6,2026-06-23,2026-07-27,TENTATIVE
FAM,setup,BULL_BOUNCE,433,92,40,236,65,25.0,96.14,0.222,22.2,25,2026-05-21,2026-08-05,TRUSTED
FAM,setup,CHANNEL_RECLAIM_LONG,72,13,16,41,2,18.6,5.46,0.076,7.6,23,2026-05-22,2026-08-05,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,406,48,74,240,44,13.3,-8.53,-0.021,-2.1,25,2026-05-21,2026-08-05,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,4208,310,1079,1406,1413,11.1,-219.16,-0.052,-5.2,43,2026-05-21,2026-08-05,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,4185,443,1022,1717,1003,13.9,-341.77,-0.082,-8.2,27,2026-05-21,2026-08-05,NEUTRAL
FAM,setup,BUY_LOWER_DIRTY,13,4,7,2,0,30.8,-1.32,-0.102,-10.2,11,2026-05-28,2026-08-04,TENTATIVE
FAM,setup,SHORT_UPPER_DIRTY,14,3,8,1,2,25.0,-3.02,-0.216,-21.6,12,2026-05-28,2026-08-05,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,63,7,40,14,2,11.5,-28.22,-0.448,-44.8,15,2026-05-21,2026-08-04,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,2,0,1,0,1,0.0,-1.0,-0.5,-50.0,2,2026-07-24,2026-07-27,TENTATIVE
FAM,setup,CHANNEL_BREAKOUT,20,2,14,2,2,11.1,-10.03,-0.501,-50.1,10,2026-05-28,2026-08-05,AVOID
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,5,0,4,1,0,0.0,-3.25,-0.65,-65.0,5,2026-05-27,2026-07-31,TENTATIVE
FAM,setup,DOUBLE_REJECTION_LONG,9,0,6,1,2,0.0,-6.11,-0.679,-67.9,7,2026-05-29,2026-07-31,TENTATIVE
FAM,setup,DCB_BREAKOUT,2,0,2,0,0,0.0,-2.0,-1.0,-100.0,2,2026-05-29,2026-06-22,TENTATIVE
FEM,mode,BOUNCE,466,175,48,193,50,42.1,174.61,0.375,37.5,60,2026-04-16,2026-08-05,TRUSTED
FEM,mode,PULLBACK,735,205,97,174,259,43.1,173.73,0.236,23.6,64,2026-04-01,2026-08-05,TRUSTED
FEM,mode,RESISTANCE,73,17,31,7,18,30.9,5.0,0.068,6.8,2,2026-04-01,2026-04-02,NEUTRAL
FEM,mode,BREAKOUT,84,17,12,47,8,22.4,-3.59,-0.043,-4.3,32,2026-04-07,2026-07-21,NEUTRAL
FEM,mode,FRESH_HOLD,19,4,12,1,2,23.5,-6.83,-0.359,-35.9,2,2026-04-01,2026-04-02,TENTATIVE
FEM,score-band,90+,845,378,27,214,226,61.1,465.87,0.551,55.1,64,2026-04-01,2026-08-05,TRUSTED
FEM,score-band,60-69,137,8,37,45,47,8.9,-23.22,-0.169,-16.9,43,2026-04-01,2026-07-31,AVOID
FEM,score-band,80-89,230,18,74,82,56,10.3,-50.44,-0.219,-21.9,47,2026-04-01,2026-07-13,AVOID
FEM,score-band,70-79,136,5,34,43,54,6.1,-33.99,-0.25,-25.0,48,2026-04-01,2026-08-05,AVOID
FEM,tier,T1-STRONG_LONG,701,240,27,209,225,50.4,330.9,0.472,47.2,62,2026-04-01,2026-08-05,TRUSTED
FEM,tier,T5-LOW,2,0,0,2,0,0.0,0.53,0.265,26.5,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T2-LONG,383,119,56,123,85,39.9,47.79,0.125,12.5,66,2026-04-01,2026-08-05,TRUSTED
FEM,tier,T3-SHORT,61,10,15,6,30,32.3,6.43,0.105,10.5,3,2026-04-01,2026-04-12,TRUSTED
FEM,tier,T2-SHORT,32,4,8,2,18,28.6,1.0,0.031,3.1,3,2026-04-01,2026-04-12,NEUTRAL
FEM,tier,T3-LONG_WATCH,285,42,86,85,72,19.7,-40.01,-0.14,-14.0,45,2026-04-01,2026-07-21,AVOID
FEM,tier,T4-LONG,38,0,7,0,31,0.0,-7.0,-0.184,-18.4,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T5-SHORT,21,3,10,1,7,21.4,-4.0,-0.19,-19.0,2,2026-04-01,2026-04-02,AVOID
FEM,tier,T3-WATCH,20,0,6,0,14,0.0,-6.0,-0.3,-30.0,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T2-STRONG,6,0,2,0,4,0.0,-2.0,-0.333,-33.3,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T1-CONVICTION,2,0,2,0,0,0.0,-2.0,-1.0,-100.0,1,2026-04-07,2026-04-07,TENTATIVE
