system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,9461,807,1963,3251,3440,13.4,-170.95,-0.018,-1.8,60,2026-05-21,2026-08-28,NEUTRAL
FAM,score-band,90+,1039,52,203,610,174,6.0,-101.89,-0.098,-9.8,60,2026-05-21,2026-08-28,NEUTRAL
FAM,score-band,70-79,6071,377,1213,2817,1664,8.6,-707.23,-0.116,-11.6,60,2026-05-21,2026-08-28,AVOID
FAM,score-band,80-89,2600,165,518,1233,684,8.6,-310.62,-0.119,-11.9,60,2026-05-21,2026-08-28,AVOID
FAM,setup,CHANNEL_TOP_REJECT,8,4,0,0,4,100.0,6.0,0.75,75.0,6,2026-06-23,2026-07-27,TENTATIVE
FAM,setup,BUY_LOWER_DIRTY,42,13,16,10,3,33.3,4.11,0.098,9.8,21,2026-05-28,2026-08-28,NEUTRAL
FAM,setup,BULL_BOUNCE,1358,193,114,806,245,17.3,119.35,0.088,8.8,41,2026-05-21,2026-08-28,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,6486,386,1408,2281,2411,9.5,-243.48,-0.038,-3.8,60,2026-05-21,2026-08-28,NEUTRAL
FAM,setup,CHANNEL_RECLAIM_LONG,128,17,33,74,4,13.7,-6.43,-0.05,-5.0,35,2026-05-22,2026-08-28,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,978,84,199,568,127,9.9,-92.06,-0.094,-9.4,41,2026-05-21,2026-08-28,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,9908,685,1957,4118,3148,10.1,-947.45,-0.096,-9.6,43,2026-05-21,2026-08-28,NEUTRAL
FAM,setup,SHORT_UPPER_DIRTY,44,8,20,8,8,22.2,-6.38,-0.145,-14.5,23,2026-05-28,2026-08-28,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,3,0,1,1,1,0.0,-0.46,-0.153,-15.3,3,2026-07-24,2026-08-24,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,13,0,7,6,0,0.0,-6.36,-0.489,-48.9,10,2026-05-27,2026-08-28,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,79,7,50,20,2,9.1,-40.41,-0.512,-51.2,24,2026-05-21,2026-08-28,AVOID
FAM,setup,DOUBLE_REJECTION_LONG,22,1,14,2,5,5.9,-12.61,-0.573,-57.3,14,2026-05-29,2026-08-28,AVOID
FAM,setup,CHANNEL_BREAKOUT,32,2,23,3,4,7.1,-19.37,-0.605,-60.5,18,2026-05-28,2026-08-28,AVOID
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FAM,setup,DCB_BREAKOUT,6,0,4,2,0,0.0,-4.0,-0.667,-66.7,5,2026-05-29,2026-08-25,TENTATIVE
FEM,mode,BOUNCE,337,193,30,105,9,58.8,239.07,0.709,70.9,60,2026-05-13,2026-08-28,TRUSTED
FEM,mode,PULLBACK,342,207,54,56,25,65.3,213.05,0.623,62.3,58,2026-05-13,2026-08-28,TRUSTED
FEM,mode,BREAKOUT,36,17,4,13,2,50.0,12.97,0.36,36.0,19,2026-05-13,2026-07-21,TRUSTED
FEM,score-band,90+,454,404,0,50,0,89.0,548.36,1.208,120.8,60,2026-05-13,2026-08-28,TRUSTED
FEM,score-band,60-69,47,2,16,27,2,4.4,-15.61,-0.332,-33.2,30,2026-05-14,2026-08-25,AVOID
FEM,score-band,70-79,60,5,24,26,5,9.1,-22.62,-0.377,-37.7,37,2026-05-13,2026-08-28,AVOID
FEM,score-band,80-89,97,5,43,41,8,5.6,-39.61,-0.408,-40.8,34,2026-05-13,2026-08-28,AVOID
FEM,tier,T1-STRONG_LONG,334,260,14,54,6,79.3,383.1,1.147,114.7,55,2026-05-13,2026-08-28,TRUSTED
FEM,tier,T2-LONG,260,125,40,84,11,50.2,82.43,0.317,31.7,62,2026-05-13,2026-08-28,TRUSTED
FEM,tier,T3-LONG_WATCH,121,32,34,36,19,31.4,-0.44,-0.004,-0.4,25,2026-05-13,2026-07-21,NEUTRAL
