system,row_dim,row_value,col_dim,col_value,n,wins,stops,closes,wr,total_r,ev_r,ev_dollars,trust
FEM,score-band,60-69,mode,PULLBACK,49,6,17,16,15.4,-3.93,-0.08,-8.0,NEUTRAL
FEM,score-band,80-89,mode,RESISTANCE,45,11,19,5,31.4,5.0,0.111,11.1,TRUSTED
FEM,score-band,60-69,mode,FRESH_HOLD,3,0,3,0,0.0,-3.0,-1.0,-100.0,TENTATIVE
FEM,score-band,90+,mode,PULLBACK,465,204,15,80,68.2,255.43,0.549,54.9,TRUSTED
FEM,score-band,80-89,mode,FRESH_HOLD,3,2,1,0,66.7,2.0,0.667,66.7,TENTATIVE
FEM,score-band,60-69,mode,RESISTANCE,7,3,2,1,50.0,4.0,0.571,57.1,TENTATIVE
FEM,score-band,70-79,mode,FRESH_HOLD,2,1,1,0,50.0,0.5,0.25,25.0,TENTATIVE
FEM,score-band,80-89,mode,PULLBACK,97,4,35,30,5.8,-29.13,-0.3,-30.0,AVOID
FEM,score-band,70-79,mode,PULLBACK,78,4,18,29,7.8,-16.11,-0.207,-20.7,AVOID
FEM,score-band,90+,mode,FRESH_HOLD,1,0,0,1,0.0,-0.83,-0.83,-83.0,TENTATIVE
FEM,score-band,70-79,mode,RESISTANCE,1,0,0,0,0.0,0.0,0.0,0.0,TENTATIVE
FEM,score-band,60-69,mode,BREAKOUT,9,0,4,4,0.0,-3.57,-0.397,-39.7,TENTATIVE
FEM,score-band,90+,mode,BREAKOUT,45,17,2,23,40.5,7.04,0.156,15.6,TRUSTED
FEM,score-band,90+,mode,BOUNCE,377,203,9,136,58.3,282.99,0.751,75.1,TRUSTED
FEM,score-band,80-89,mode,BREAKOUT,16,0,3,12,0.0,-5.58,-0.349,-34.9,TENTATIVE
FEM,score-band,70-79,mode,BOUNCE,31,1,13,14,3.6,-14.52,-0.468,-46.8,AVOID
FEM,score-band,60-69,mode,BOUNCE,32,0,5,25,0.0,-8.92,-0.279,-27.9,AVOID
FEM,score-band,80-89,mode,BOUNCE,66,1,16,43,1.7,-23.23,-0.352,-35.2,AVOID
FEM,score-band,70-79,mode,BREAKOUT,4,0,0,3,0.0,-0.88,-0.22,-22.0,TENTATIVE
FEM,score-band,60-69,tier,T2-LONG,44,1,12,25,2.6,-12.46,-0.283,-28.3,AVOID
FEM,score-band,80-89,tier,T3-SHORT,46,10,13,4,37.0,8.0,0.174,17.4,TRUSTED
FEM,score-band,60-69,tier,T3-LONG_WATCH,43,4,16,17,10.8,-8.72,-0.203,-20.3,AVOID
FEM,score-band,80-89,tier,T2-SHORT,12,1,7,1,11.1,-4.0,-0.333,-33.3,TENTATIVE
FEM,score-band,90+,tier,T1-STRONG_LONG,623,266,13,189,56.8,392.64,0.63,63.0,TRUSTED
