system,row_dim,row_value,col_dim,col_value,n,wins,stops,closes,wr,total_r,ev_r,ev_dollars,trust
FEM,score-band,80-89,mode,PULLBACK,38,3,23,9,8.6,-18.97,-0.499,-49.9,AVOID
FEM,score-band,70-79,mode,PULLBACK,28,3,11,12,11.5,-10.0,-0.357,-35.7,AVOID
FEM,score-band,90+,mode,PULLBACK,151,147,0,4,97.4,184.13,1.219,121.9,TRUSTED
FEM,score-band,80-89,mode,BREAKOUT,5,0,1,4,0.0,-1.42,-0.284,-28.4,TENTATIVE
FEM,score-band,90+,mode,BREAKOUT,17,17,0,0,100.0,15.69,0.923,92.3,TENTATIVE
FEM,score-band,70-79,mode,BOUNCE,13,0,7,6,0.0,-7.9,-0.608,-60.8,TENTATIVE
FEM,score-band,90+,mode,BOUNCE,122,114,0,8,93.4,150.02,1.23,123.0,TRUSTED
FEM,score-band,60-69,mode,PULLBACK,13,1,7,4,8.3,-4.63,-0.356,-35.6,TENTATIVE
FEM,score-band,60-69,mode,BREAKOUT,4,0,1,3,0.0,-1.66,-0.415,-41.5,TENTATIVE
FEM,score-band,60-69,mode,BOUNCE,16,0,5,10,0.0,-7.82,-0.489,-48.9,TENTATIVE
FEM,score-band,80-89,mode,BOUNCE,28,1,9,17,3.7,-10.32,-0.369,-36.9,AVOID
FEM,score-band,70-79,mode,BREAKOUT,2,0,0,2,0.0,-0.68,-0.34,-34.0,TENTATIVE
FEM,score-band,80-89,tier,T3-LONG_WATCH,29,2,15,10,7.4,-16.6,-0.572,-57.2,AVOID
FEM,score-band,70-79,tier,T3-LONG_WATCH,16,1,7,8,6.2,-8.3,-0.519,-51.9,TENTATIVE
FEM,score-band,90+,tier,T1-STRONG_LONG,171,166,0,5,97.1,241.86,1.414,141.4,TRUSTED
FEM,score-band,80-89,tier,T2-LONG,25,0,13,11,0.0,-12.06,-0.482,-48.2,AVOID
FEM,score-band,70-79,tier,T2-LONG,22,1,9,11,4.8,-9.78,-0.445,-44.5,AVOID
FEM,score-band,90+,tier,T2-LONG,90,84,0,6,93.3,68.64,0.763,76.3,TRUSTED
FEM,score-band,90+,tier,T3-LONG_WATCH,29,28,0,1,96.6,39.34,1.357,135.7,TRUSTED
FEM,score-band,60-69,tier,T2-LONG,19,0,5,13,0.0,-5.24,-0.276,-27.6,TENTATIVE
FEM,score-band,80-89,tier,T1-STRONG_LONG,17,2,5,9,12.5,-2.05,-0.121,-12.1,TENTATIVE
FEM,score-band,70-79,tier,T1-STRONG_LONG,5,1,2,1,25.0,-0.5,-0.1,-10.0,TENTATIVE
FEM,score-band,60-69,tier,T3-LONG_WATCH,12,0,7,4,0.0,-9.37,-0.781,-78.1,TENTATIVE
FEM,score-band,60-69,tier,T1-STRONG_LONG,2,1,1,0,50.0,0.5,0.25,25.0,TENTATIVE
FEM,tier,T3-LONG_WATCH,mode,PULLBACK,68,18,19,18,32.7,-1.61,-0.024,-2.4,NEUTRAL
FEM,tier,T1-STRONG_LONG,mode,PULLBACK,104,93,5,4,91.2,130.9,1.259,125.9,TRUSTED
FEM,tier,T2-LONG,mode,BREAKOUT,16,8,0,7,53.3,4.83,0.302,30.2,TENTATIVE
FEM,tier,T3-LONG_WATCH,mode,BREAKOUT,13,4,4,4,33.3,0.72,0.055,5.5,TENTATIVE
FEM,tier,T2-LONG,mode,PULLBACK,83,43,17,20,53.8,18.71,0.225,22.5,TRUSTED
FEM,tier,T1-STRONG_LONG,mode,BREAKOUT,6,5,0,1,83.3,6.62,1.103,110.3,TENTATIVE
FEM,tier,T3-LONG_WATCH,mode,BOUNCE,38,9,11,14,26.5,-1.04,-0.027,-2.7,NEUTRAL
FEM,tier,T2-LONG,mode,BOUNCE,73,35,10,25,50.0,20.85,0.286,28.6,TRUSTED
