ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
ABT,103.12,103.19,101.5,102.61,REJECTED_PDH,ABOVE_PDL,True,102.69,101.84,1.0,ABOVE_ORH,0.941,False,False,0.941,2.17,60,AVOID_LONG_CHASE,46,AVOID_SHORT
ACVA,10.47,10.485,10.45,10.48,REJECTED_PDH,RECLAIMED_PDL,True,10.49,10.47,0.0,OR_BOTTOM_THIRD,0.5,False,False,0.5,6.76,58,AVOID_LONG,54,AVOID_SHORT
AGEN,8.2176,7.88,7.33,7.85,ABOVE_PDH,ABOVE_PDL,True,8.06,7.6,1.0,ABOVE_ORH,0.618,True,False,0.618,1.64,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
AHMA,1.28,1.37,1.2875,1.32,BELOW_PDH,BELOW_PDL,True,1.3033,1.25,0.563,OR_MIDDLE,0.5,False,False,0.5,0.79,38,NEUTRAL,62,CONTINUATION_SHORT
AIM,0.208,0.2166,0.2043,0.2075,BELOW_PDH,RECLAIMED_PDL,True,0.2136,0.201,0.556,OR_MIDDLE,0.556,False,False,0.556,0.76,62,NEUTRAL,42,AVOID_SHORT
AKAM,117.0,107.25,102.61,104.52,ABOVE_PDH,ABOVE_PDL,True,112.58,105.4,1.0,ABOVE_ORH,0.952,True,False,0.952,1.91,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
ALGM,35.7203,34.175,33.32,34.1,ABOVE_PDH,ABOVE_PDL,True,35.01,33.85,1.0,ABOVE_ORH,0.917,True,False,0.917,2.59,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
ALKT,18.01,19.42,18.32,19.13,BELOW_PDH,BELOW_PDL,True,19.14,18.65,0.0,BELOW_ORL,0.0,False,False,0.0,1.89,18,AVOID_LONG,84,AVOID_SHORT_CHASE
AMKR,52.39,50.42,48.23,50.3,ABOVE_PDH,ABOVE_PDL,True,51.685,50.5,1.0,ABOVE_ORH,1.0,False,False,1.0,2.74,84,AVOID_LONG_CHASE,26,AVOID_SHORT
AMPG,3.38,3.47,3.341,3.4,REJECTED_PDH,ABOVE_PDL,True,3.47,3.4009,0.0,BELOW_ORL,0.077,False,False,0.077,3.54,18,AVOID_LONG,84,AVOID_SHORT_CHASE
ARES,126.55,125.96,122.86,123.8,ABOVE_PDH,ABOVE_PDL,True,127.53,125.05,0.605,OR_MIDDLE,0.517,True,False,0.517,2.56,80,PULLBACK_BUY_ZONE,34,NEUTRAL
ASAN,9.5,10.09,9.435,9.51,BELOW_PDH,RECLAIMED_PDL,True,9.69,9.39,0.367,OR_MIDDLE,0.367,False,False,0.367,1.18,62,NEUTRAL,42,AVOID_SHORT
ATRO,68.1364,66.47,64.25,65.71,ABOVE_PDH,ABOVE_PDL,True,68.0,66.2,1.0,ABOVE_ORH,0.59,True,False,0.59,2.38,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
AVTR,15.13,15.9,15.44,15.52,BELOW_PDH,BELOW_PDL,True,15.59,15.235,0.0,BELOW_ORL,0.164,False,True,0.164,3.33,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
BAX,22.93,23.155,22.7111,22.8,BELOW_PDH,RECLAIMED_PDL,True,23.04,22.56,0.771,OR_TOP_THIRD,0.712,False,False,0.712,1.76,62,NEUTRAL,48,AVOID_SHORT
BEEM,1.32,1.36,1.2901,1.32,REJECTED_PDH,ABOVE_PDL,True,1.365,1.325,0.0,BELOW_ORL,0.0,False,False,0.0,1.01,26,AVOID_LONG,72,AVOID_SHORT_CHASE
BMNR,28.51,26.37,24.76,25.99,ABOVE_PDH,ABOVE_PDL,True,28.055,27.08,1.0,ABOVE_ORH,1.0,False,False,1.0,1.49,84,AVOID_LONG_CHASE,26,AVOID_SHORT
BMY,62.72,63.065,62.19,63.06,REJECTED_PDH,ABOVE_PDL,True,63.36,62.7,0.03,OR_BOTTOM_THIRD,0.129,False,False,0.129,2.62,38,AVOID_LONG,74,AVOID_SHORT_CHASE
BSY,31.8863,32.82,31.19,32.58,REJECTED_PDH,ABOVE_PDL,True,32.88,31.91,0.0,BELOW_ORL,0.016,False,False,0.016,2.67,18,AVOID_LONG,84,AVOID_SHORT_CHASE
BTE,4.7799,4.89,4.79,4.84,BELOW_PDH,BELOW_PDL,True,4.79,4.66,0.922,OR_TOP_THIRD,0.944,False,True,0.944,1.89,42,AVOID_LONG_CHASE,78,FIRST_RALLY_SHORT_ZONE
BULL,8.2598,8.32,7.84,8.25,REJECTED_PDH,ABOVE_PDL,True,8.66,8.22,0.09,OR_BOTTOM_THIRD,0.111,False,False,0.111,1.59,38,AVOID_LONG,74,AVOID_SHORT_CHASE
